DateTime,is_holiday,air_pollution_index,humidity,wind_speed,wind_direction,visibility_in_miles,dew_point,temperature,rain_p_h,snow_p_h,clouds_all,weather_type,weather_description,traffic_volume,last_1_hour_traffic,last_2_hour_traffic,last_3_hour_traffic,last_4_hour_traffic,last_5_hour_traffic,last_6_hour_traffic,hour,month_day,weekday,month,year,Junction
03-10-2012 03:00,1,101,58,4,323,7,7,281.09,0,0,1,Clear,sky is clear,367,273,321,506,963,1529,2361,3,3,3,10,2012,1
03-10-2012 04:00,1,161,58,4,322,4,4,279.53,0,0,1,Clear,sky is clear,814,367,273,321,506,963,1529,4,3,3,10,2012,1
03-10-2012 05:00,1,179,57,4,322,3,3,278.62,0,0,1,Clear,sky is clear,2718,814,367,273,321,506,963,5,3,3,10,2012,1
03-10-2012 06:00,1,93,57,4,322,4,4,278.23,0,0,1,Clear,sky is clear,5673,2718,814,367,273,321,506,6,3,3,10,2012,1
03-10-2012 08:00,1,57,56,4,321,4,4,278.12,0,0,1,Clear,sky is clear,6511,5673,2718,814,367,273,321,8,3,3,10,2012,1
03-10-2012 09:00,1,226,56,4,321,4,4,282.48,0,0,1,Clear,sky is clear,5471,6511,5673,2718,814,367,273,9,3,3,10,2012,1
03-10-2012 12:00,1,86,55,4,320,3,3,291.97,0,0,1,Clear,sky is clear,5097,5471,6511,5673,2718,814,367,12,3,3,10,2012,1
03-10-2012 13:00,1,52,55,4,320,1,1,293.23,0,0,1,Clear,sky is clear,4887,5097,5471,6511,5673,2718,814,13,3,3,10,2012,1
03-10-2012 14:00,1,273,55,4,320,4,4,294.31,0,0,1,Clear,sky is clear,5337,4887,5097,5471,6511,5673,2718,14,3,3,10,2012,1
03-10-2012 15:00,1,72,55,5,350,3,3,295.17,0,0,1,Clear,sky is clear,5692,5337,4887,5097,5471,6511,5673,15,3,3,10,2012,1
03-10-2012 16:00,1,254,55,4,320,1,1,295.13,0,0,1,Clear,sky is clear,6137,5692,5337,4887,5097,5471,6511,16,3,3,10,2012,1
03-10-2012 18:00,1,129,55,5,330,4,4,293.66,0,0,20,Clouds,few clouds,4623,6137,5692,5337,4887,5097,5471,18,3,3,10,2012,1
03-10-2012 19:00,1,271,48,7,330,1,1,290.65,0,0,20,Clouds,few clouds,3591,4623,6137,5692,5337,4887,5097,19,3,3,10,2012,1
03-10-2012 20:00,1,259,42,6,320,1,1,288.19,0,0,20,Clouds,few clouds,2898,3591,4623,6137,5692,5337,4887,20,3,3,10,2012,1
